episode[sid]                                                                                n     w<0  flip  min|w|  |w|<.05   dRaw  dHemi  yawWrap
thor_gmsl2_8ch_v1_20260715_030235/episode_000001[box_imu]                                1995    0.0%     0   0.299        0  0.000  0.000        0
thor_gmsl2_8ch_v1_20260715_034811/episode_000000[box_imu]                                1101    0.0%     0   0.299        0  0.000  0.000        0
thor_gmsl2_8ch_v1_20260715_055445/episode_000000[box_imu]                                 997    0.0%     0   0.290        0  0.000  0.000        0
thor_gmsl2_8ch_v1_20260715_055445/episode_000001[box_imu]                                1223    0.0%     0   0.290        0  0.000  0.000        0
thor_gmsl2_8ch_v1_20260715_055631/episode_000000[box_imu]                                1202    0.0%     0   0.290        0  0.000  0.000        0
thor_gmsl2_8ch_v1_20260715_055631/episode_000001[box_imu]                                1010    0.0%     0   0.290        0  0.000  0.000        0
thor_gmsl2_8ch_v1_20260715_061322/episode_000000[box_imu]                                2008   51.3%     0   0.000      476  0.006  1.999        0
thor_gmsl2_8ch_v1_20260715_061322/episode_000001[box_imu]                                2000    4.6%     0   0.000      145  0.007  1.999        0
thor_gmsl2_8ch_v1_20260715_061322/episode_000002[box_imu]                                2009  100.0%     0   0.001     2009  0.006  0.006        0
thor_gmsl2_8ch_v1_20260715_061322/episode_000003[box_imu]                                2006   81.8%     0   0.000     2006  0.003  1.999        0
thor_gmsl2_8ch_v1_20260715_132327/episode_000000[box_imu]                                2009    0.0%     0   0.002      110  0.007  0.007        0
thor_gmsl2_8ch_v1_20260715_132327/episode_000001[box_imu]                                1994    0.0%     0   0.046       15  0.007  0.007        0
thor_gmsl2_8ch_v1_20260715_132327/episode_000002[box_imu]                                2007    0.0%     0   0.085        0  0.005  0.005        0
thor_gmsl2_8ch_v1_20260715_132327/episode_000003[box_imu]                                2009    0.0%     0   0.131        0  0.006  0.006        0
thor_gmsl2_8ch_v1_20260715_132327/episode_000004[box_imu]                                1998    0.0%     0   0.140        0  0.011  0.011        0
thor_gmsl2_8ch_v1_20260716_020204/episode_000000[box_imu]                                1492    0.0%     0   0.217        0  0.000  0.000        0
thor_gmsl2_8ch_v1_20260723_095731/episode_000000[box_imu]                                2009   73.1%     0   0.000      629  0.004  2.000        0
thor_gmsl2_8ch_v1_20260723_095731/episode_000001[box_imu]                                2000   96.5%     0   0.000      543  0.006  2.000        0
thor_gmsl2_8ch_v1_20260723_153807/episode_000000[box_imu]                                2009    0.0%     0   0.142        0  0.006  0.006        0
thor_gmsl2_8ch_v1_20260723_153807/episode_000001[box_imu]                                1994    0.0%     0   0.195        0  0.008  0.008        0
thor_gmsl2_8ch_v1_20260723_153807/episode_000002[box_imu]                                1999    0.0%     0   0.602        0  0.002  0.002        0
thor_gmsl2_8ch_v1_20260724_143155/episode_000000[box_imu]                                2008    0.0%     0   0.460        0  0.006  0.006        0
thor_gmsl2_8ch_v1_20260724_143155/episode_000001[box_imu]                                1997    0.0%     0   0.494        0  0.005  0.005        0
thor_gmsl2_8ch_v1_20260724_143833/episode_000000[box_imu]                                2000    0.0%     0   0.508        0  0.004  0.004        0
thor_gmsl2_8ch_v1_20260724_144043/episode_000000[box_imu]                                2007    0.0%     0   0.477        0  0.001  0.001        0
thor_gmsl2_8ch_v1_20260724_144043/episode_000001[box_imu]                                1998    0.0%     0   0.478        0  0.000  0.000        0
thor_gmsl2_8ch_v1_20260724_144445/episode_000000[box_imu]                                2009    0.0%     0   0.417        0  0.001  0.001        0
water_pouring_20260715_085801/episode_000000[box_imu]                                    2000   57.5%     0   0.000      390  0.004  1.999        0
water_pouring_20260715_085801/episode_000001[box_imu]                                    1825   51.5%     0   0.000      146  0.004  1.999        0
water_pouring_20260715_085801/episode_000002[box_imu]                                    1716   49.8%     0   0.000      450  0.005  1.999        0
water_pouring_20260715_094641/episode_000000[box_imu]                                    1643   42.6%     0   0.000      418  0.010  2.000        0
water_pouring_20260715_094641/episode_000001[box_imu]                                    1857   45.0%     0   0.000      383  0.004  2.000        0
water_pouring_20260715_102205/episode_000000[box_imu]                                    1927    0.0%     0   0.072        0  0.007  0.007        0
water_pouring_20260715_102205/episode_000001[box_imu]                                    1997   22.6%     0   0.000      227  0.009  2.000        0
water_pouring_20260716_101936/episode_000000[box_imu]                                     567    0.0%     0   0.219        0  0.000  0.000        0
---------------------------------------------------------------------------------------------------------------------------------------------------
TOTAL episodes=213 samples=323213 w<0=70864 (21.9%) antipodal_flips=0 |w|<0.05=22630 yaw_wraps=2
norm range over all: 0.999029 .. 1.000999
